INFO |  | Starting installation...
INFO |  | Installing on host1.example.com...
INFO |  | Installed on host1.example.com!
INFO |  | Installing on host2.example.com...
INFO |  | Installed on host2.example.com!
INFO |  | Installing on host3.example.com...
ERROR |  | Installation failed on host3.example.com!
ERROR |  | Installation failed!
ERROR |  | Installation failed on 1 hosts!

INFO |  | Starting installation...
INFO |  | Installing on host1.example.com...
INFO |  | Installing on host2.example.com...
INFO |  | Installing on host3.example.com...
INFO |  | Installed on host3.example.com!
ERROR |  | Installation failed on host2.example.com!
ERROR |  | Installation failed! (Host: host2.example.com)
ERROR |  | The process cannot access the file 'C:\Users\Player#1\source\repos\LeetCode\devopsInfraTask\multiEnvInstaller\log.txt' because it is being used by another process. (Host: host1.example.com)
ERROR |  | Installation failed on 2 host(s)!


